"# BLOCK 1: ASSUMPTIONS. Reporting currency AUD (ChimeraShield Pty Ltd). US prices set in USD and converted at fx_usd_per_aud. Ex GST. Planning model; not tax or accounting advice. Labels: Evidence = sourced (S = search summary, page not opened); Estimate = CFO estimate, verify; Assumption = unvalidated (0 customer interviews); Decision = recommended price. Updated 2026-09-26."
key,conservative,base,aggressive,unit,label,note
## FX and tax basis,,,,,,
fx_usd_per_aud,0.7,0.7,0.7,USD per 1 AUD,"Evidence (spot 0.7027 on 25 Sep 2026, Trading Economics via search; rounded)",US$1 = A$1.4286. Old docs used 0.65 (A$1.53). Change this one cell to re-run
gst_registered,1,1,1,1 = yes,Assumption (voluntary registration; FLAG accountant),"Model is ex GST. US sales = GST-free exports; AU sales +10% GST passed through. If not registered, GST-bearing costs are ~10% higher"
"## US pricing (USD, unchanged)",,,,,,
pack_founding_price,495,495,495,USD one-time,Decision,US: first 10 packs or until 31 Dec 2026
pack_founding_cap,10,10,10,packs,Decision,
pack_std_list,795,795,795,USD one-time,Decision,5-15 staff
pack_plus_list,1195,1195,1195,USD one-time,Decision,16-50 staff
pack_plus_share,0.2,0.2,0.2,share of list packs,Assumption,also used for AU
annual_refresh_price,395,395,395,USD/yr,Decision,"Pack-only customers, 12 mo after pack; included in Watch annual"
annual_refresh_uptake,0.3,0.4,0.5,share,Assumption,also used for AU
watch_founding_price,49,49,49,USD/mo,Decision,"First 10 US Watch subscribers, locked 24 months"
watch_founding_cap,10,10,10,subs,Decision,
watch_solo,49,49,49,USD/mo,Decision,1-4 staff
watch_std,99,99,99,USD/mo,Decision,5-15 staff
watch_plus,149,149,149,USD/mo,Decision,16-50 staff
pack_credit_list,300,300,300,USD,Decision,Credited to Watch ANNUAL prepay within 30 days of debrief
pack_credit_founding,150,150,150,USD,Decision,"Same rule, founding pack"
"## AU pricing (AUD, ex GST; aligned with prd-au-client-data-pack.md)",,,,,,
au_pack_founding_price,750,750,750,AUD one-time ex GST,Decision,Client Data Security Pack: first 5 AU packs or until 31 Mar 2027
au_pack_founding_cap,5,5,5,packs,Decision,
au_pack_std_list,1195,1195,1195,AUD one-time ex GST,Decision,5-14 staff
au_pack_plus_list,1795,1795,1795,AUD one-time ex GST,Decision,15-50 staff
au_refresh_price,595,595,595,AUD/yr ex GST,Decision,"Annual Policy Refresh, pack-only AU customers"
au_watch_founding_price,79,79,79,AUD/mo ex GST,Decision,"First 5 AU Watch subscribers, any size, locked 24 months"
au_watch_founding_cap,5,5,5,subs,Decision,
au_watch_solo,79,79,79,AUD/mo ex GST,Decision,1-4 staff
au_watch_std,149,149,149,AUD/mo ex GST,Decision,5-14 staff
au_watch_plus,229,229,229,AUD/mo ex GST,Decision,15-50 staff
au_pack_credit_list,450,450,450,AUD,Decision,Same rule as US credit
au_pack_credit_founding,225,225,225,AUD,Decision,
## Mix and billing (both markets),,,,,,
mix_solo,0.1,0.1,0.1,share,Assumption,
mix_std,0.6,0.6,0.6,share,Assumption,
mix_plus,0.3,0.3,0.3,share,Assumption,
annual_months_paid,10,10,10,months,Decision,Annual prepay = 2 months free (~16.7% off)
## Demand: US accounting (revenue market),,,,,,
acct_pack_rate,0.8,1.5,2.5,packs/mo at seasonality 1.0 in M1,Assumption,0 interviews so far
acct_growth,0.03,0.05,0.07,monthly compound,Assumption,"referrals, partners, content compounding"
## Demand: US dental (second US segment),,,,,,
dental_start_month,10,8,6,model month,Assumption,MOVED LATER (was 8/4/4): Feb-Apr 2027 founder time goes to the AU window under plan C. M8 = May 2027
dental_pack_rate,1.0,1.5,2.5,packs/mo at full ramp,Assumption,6-month linear ramp
dental_growth,0.02,0.04,0.06,monthly compound after start,Assumption,
"## Demand: AU tax/accounting (plan C pilot, then gated)",,,,,,
au_pilot_nov,0.5,1.0,1.0,packs in M2 (Nov 2026),Assumption,"paid pilots 3 Nov-11 Dec; PRD target 2, min 1"
au_pilot_dec,0.5,1.0,1.0,packs in M3 (Dec 2026),Assumption,
au_start_month,5,5,5,model month,Assumption,"M5 = Feb 2027, after the 15 Feb gate (expected value; not a decision)"
au_pack_rate,0.3,0.6,1.0,packs/mo at AU seasonality 1.0,Assumption,0 AU interviews so far
au_growth,0.02,0.04,0.06,monthly compound after start,Assumption,
au_direct_watch_rate,0.1,0.2,0.4,subs/mo at AU seasonality 1.0,Assumption,from M5
## Watch conversion and retention,,,,,,
watch_attach,0.3,0.45,0.6,share of pack buyers,Assumption,start month after pack; same for AU
direct_watch_rate,0.3,0.6,1.0,subs/mo per active US segment at seasonality 1.0,Assumption,S5 leads who skip the pack
annual_share_peak,0.35,0.5,0.6,share of new US accounting subs Oct-Dec,Assumption,
annual_share_other,0.25,0.25,0.25,share of other new subs,Assumption,incl. AU
monthly_churn,0.05,0.035,0.025,"per month, monthly payers",Assumption,
may_churn_spike,0.08,0.06,0.04,"extra churn in May, US accounting monthly payers",Assumption,post-tax-season cancellations; none for AU
annual_renewal,0.65,0.75,0.85,share renewing,Assumption,
## Payment fees (Stripe Australia account),,,,,,
stripe_intl_pct,0.035,0.035,0.035,of US card charge,Evidence (S: Stripe AU international cards 3.5%),reported to fall to 2.8% from 1 Apr 2027 (not modeled = upside)
stripe_fx_pct,0.02,0.02,0.02,of US charge,Evidence (S: ~2% when USD is converted to AUD payout),0 if Stripe grants a USD settlement account (limited availability)
stripe_dom_pct,0.017,0.017,0.017,of AU card charge,Evidence (S: 1.7%; reported 1.65% from 1 Oct 2026),BECS direct debit is cheaper; not modeled
stripe_fixed_aud,0.3,0.3,0.3,AUD per charge,Evidence (S),= ~US$0.21
stripe_billing_pct,0.007,0.007,0.007,of subscription volume,Evidence (Stripe Billing),verify AU rate
stripe_tax_pct,0.0,0.0,0.0,of charge,Assumption,"Stripe Tax monitoring only, no US registrations; was 0.5%"
"## Variable costs (USD-priced vendors, converted)",,,,,,
llm_in_per_mtok,3.0,3.0,3.0,USD,Evidence (Sonnet-class list price),
llm_out_per_mtok,15.0,15.0,15.0,USD,Evidence (Sonnet-class list price),
a2_in_tokens,3500,3500,3500,tokens/analysis,Estimate,
a2_out_tokens,700,700,700,tokens/analysis,Estimate,
a2_per_month,12,12,12,analyses/customer/mo,Assumption,
a2_per_month_taxseason,30,30,30,analyses/customer/mo Jan-Apr (US accounting),Assumption,
brief_in_tokens,15000,15000,15000,tokens/mo,Estimate,
brief_out_tokens,3000,3000,3000,tokens/mo,Estimate,
llm_overhead,1.3,1.3,1.3,multiplier,Estimate,"retries, evals"
pack_llm_cost,2.0,2.0,2.0,USD/pack,Estimate,
infra_var,0.75,0.75,0.75,USD/customer/mo,Estimate,
email_var,0.25,0.25,0.25,USD/customer/mo,Estimate,
## Founder time,,,,,,
review_hours,0.4,0.4,0.4,founder h/customer/mo,Assumption,
review_hours_taxseason,0.7,0.7,0.7,founder h/customer/mo Jan-Apr US accounting,Assumption,
pack_hours_1_3,9.5,9.5,9.5,founder h/pack,Assumption,separate learning curve for US and AU packs
pack_hours_4_10,6.0,6.0,6.0,founder h/pack,Assumption,
pack_hours_11p,4.5,4.5,4.5,founder h/pack,Assumption,
refresh_hours,2.0,2.0,2.0,founder h/refresh,Assumption,
founder_hour_value_aud,50,50,50,AUD/h,Assumption,imputed (was US$35); loaded margin and CAC only
founder_pay_low_aud,3000,3000,3000,AUD/mo gross,Assumption,+ super below
founder_pay_high_aud,7500,7500,7500,AUD/mo gross,Assumption,
super_rate,0.12,0.12,0.12,of salary,Evidence (SG rate 12% from 1 Jul 2025),"only if paid as wages; FLAG accountant (Div 7A, PAYG)"
"## Fixed costs (AUD per month unless noted, ex GST)",,,,,,
fixed_workspace_aud,11,11,11,AUD/mo,"Estimate (Google Workspace Business Starter, AU)",verify
fixed_domains_aud,5,5,5,AUD/mo,Estimate (.com + .com.au ~A$60/yr),
fixed_hosting_usd,45,45,45,USD/mo,Estimate,US$100 once >50 subs
fixed_hosting_scaled_usd,100,100,100,USD/mo,Estimate,
fixed_email_service_usd,15,15,15,USD/mo,Estimate,from M2
fixed_sales_nav_usd,99.99,99.99,99.99,USD/mo,Estimate (LinkedIn Sales Navigator Core),optional; kept for comparability
